,Unnamed: 0,city,date,fare,ride_id,driver_count,type
0,0,Lake Jonathanshire,2019-01-14 10:14,13.83,5740000000000,5,Urban
1,1,South Michelleport,2019-03-04 18:24,30.24,2340000000000,72,Urban
2,2,Port Samanthamouth,2019-02-24 4:29,33.44,2010000000000,57,Urban
3,3,Rodneyfort,2019-02-10 23:22,23.44,5150000000000,34,Urban
4,4,South Jack,2019-03-06 4:28,34.58,3910000000000,46,Urban
5,5,South Latoya,2019-03-11 12:26,9.52,2000000000000,10,Urban
6,6,New Paulville,2019-02-27 11:17,43.25,793000000000,44,Urban
7,7,Simpsonburgh,2019-04-26 0:43,35.98,112000000000,21,Urban
8,8,South Karenland,2019-01-08 3:28,35.09,8000000000000,4,Urban
9,9,North Jasmine,2019-03-09 6:26,42.81,5330000000000,33,Urban
10,10,New Kimberlyborough,2019-02-07 1:10,9.34,7990000000000,33,Urban
11,11,West Angela,2019-01-12 1:45,26.86,4820000000000,48,Urban
12,12,Rodneyfort,2019-03-02 18:03,44.26,2490000000000,34,Urban
13,13,West Angela,2019-01-10 12:17,12.74,2110000000000,48,Urban
14,14,Roberthaven,2019-05-04 14:48,25.66,1030000000000,47,Urban
15,15,North Jason,2019-03-28 22:28,9.19,7010000000000,6,Urban
16,16,Williamsview,2019-01-03 16:19,18.93,1980000000000,46,Urban
17,17,Leahton,2019-02-26 18:42,8.85,6970000000000,17,Urban
18,18,West Anthony,2019-03-06 2:27,10.02,9400000000000,70,Urban
19,19,New Kimberlyborough,2019-04-25 22:58,29.67,4820000000000,33,Urban
20,20,Roberthaven,2019-02-24 10:26,7.8,2180000000000,47,Urban
21,21,New Paulton,2019-05-01 3:12,8.28,8530000000000,44,Urban
22,22,West Patrickchester,2019-03-19 5:46,40.86,899000000000,25,Urban
23,23,Deanville,2019-04-25 3:29,41.52,6060000000000,49,Urban
24,24,West Josephberg,2019-02-19 16:22,36.39,3320000000000,45,Urban
25,25,West Samuelburgh,2019-05-03 14:33,41.12,7330000000000,73,Urban
26,26,West Heidi,2019-03-14 23:46,24.4,4910000000000,28,Urban
27,27,Loganberg,2019-04-01 1:06,8.23,679000000000,23,Urban
28,28,Huntermouth,2019-02-10 23:32,25.79,1880000000000,37,Urban
