city,date,fare,ride_id
Lake Jonathanshire,2019-01-14 10:14,13.83,5740000000000
South Michelleport,2019-03-04 18:24,30.24,2340000000000
Port Samanthamouth,2019-02-24 4:29,33.44,2010000000000
Rodneyfort,2019-02-10 23:22,23.44,5150000000000
South Jack,2019-03-06 4:28,34.58,3910000000000
South Latoya,2019-03-11 12:26,9.52,2000000000000
New Paulville,2019-02-27 11:17,43.25,793000000000
Simpsonburgh,2019-04-26 0:43,35.98,112000000000
South Karenland,2019-01-08 3:28,35.09,8000000000000
North Jasmine,2019-03-09 6:26,42.81,5330000000000
New Kimberlyborough,2019-02-07 1:10,9.34,7990000000000
West Angela,2019-01-12 1:45,26.86,4820000000000
Rodneyfort,2019-03-02 18:03,44.26,2490000000000
West Angela,2019-01-10 12:17,12.74,2110000000000
Roberthaven,2019-05-04 14:48,25.66,1030000000000
North Jason,2019-03-28 22:28,9.19,7010000000000
Williamsview,2019-01-03 16:19,18.93,1980000000000
Leahton,2019-02-26 18:42,8.85,6970000000000
West Anthony,2019-03-06 2:27,10.02,9400000000000
New Kimberlyborough,2019-04-25 22:58,29.67,4820000000000
Roberthaven,2019-02-24 10:26,7.8,2180000000000
New Paulton,2019-05-01 3:12,8.28,8530000000000
West Patrickchester,2019-03-19 5:46,40.86,899000000000
Deanville,2019-04-25 3:29,41.52,6060000000000
West Josephberg,2019-02-19 16:22,36.39,3320000000000
West Samuelburgh,2019-05-03 14:33,41.12,7330000000000
West Heidi,2019-03-14 23:46,24.4,4910000000000
Loganberg,2019-04-01 1:06,8.23,679000000000
Huntermouth,2019-02-10 23:32,25.79,1880000000000
South Latoya,2019-01-11 18:44,27.41,8660000000000
New Paulville,2019-03-18 22:54,25.05,5030000000000
Grahamburgh,2019-01-15 11:44,40.69,307000000000
Port Frank,2019-02-02 14:14,41.47,6750000000000
East Kaylahaven,2019-02-28 4:13,25.96,3660000000000
Rodneyfort,2019-02-03 0:48,44.86,2330000000000
South Karenland,2019-02-12 6:52,36.01,4020000000000
West Robert,2019-02-15 4:21,12.28,1440000000000
North Markport,2019-02-18 8:17,38.09,925000000000
Williamsview,2019-03-12 6:47,8.35,1940000000000
Richardfort,2019-02-24 8:40,13.93,5630000000000
New Kimberlyborough,2019-03-14 16:47,27.9,6750000000000
Reynoldsfurt,2019-03-25 14:33,34.06,6600000000000
South Karenland,2019-05-08 2:31,41.33,5690000000000
Rodneyfort,2019-04-25 20:57,21.7,8530000000000
Justinberg,2019-04-23 8:59,14.65,9880000000000
West Josephberg,2019-03-05 3:27,12.91,103000000000
South Karenland,2019-03-03 14:48,37.3,4100000000000
Leahton,2019-05-05 10:34,17.05,5850000000000
Martinezhaven,2019-03-19 15:31,5.3,264000000000
North Jason,2019-03-03 2:13,28.02,2670000000000
Jerryton,2019-03-03 17:50,28.08,6000000000000
Lake Scottton,2019-02-18 9:22,25.02,3910000000000
South Evanton,2019-02-14 5:55,42.5,9950000000000
Rogerston,2019-05-08 1:54,32.69,1640000000000
West Samuelburgh,2019-05-02 13:55,38.77,2930000000000
West Ericstad,2019-04-24 3:20,7.31,4290000000000
New Paulville,2019-03-10 10:45,4.43,1210000000000
Hurleymouth,2019-05-04 21:50,21.44,4040000000000
West Samuelburgh,2019-03-03 3:17,25.17,1780000000000
Joneschester,2019-03-01 18:48,34.71,3340000000000
New Paulville,2019-04-03 7:51,32.7,9560000000000
Simpsonburgh,2019-01-19 23:06,15.83,233000000000
Port Angela,2019-04-17 6:23,16.34,7120000000000
West Ericstad,2019-04-04 13:03,28.52,6430000000000
New Kimberlyborough,2019-03-16 1:38,17.19,2770000000000
Joneschester,2019-01-30 17:41,36.78,1660000000000
North Markport,2019-04-26 4:45,44.37,1630000000000
Hurleymouth,2019-03-22 11:19,32.85,8450000000000
Barajasview,2019-01-15 2:59,19.52,8270000000000
Grahamburgh,2019-04-06 13:48,23.87,1470000000000
South Michelleport,2019-03-02 9:54,33.12,814000000000
Loganberg,2019-01-07 19:02,16.26,9050000000000
West Christopherberg,2019-03-18 17:14,12.64,1060000000000
Rogerston,2019-02-23 19:13,14.04,7650000000000
Huntermouth,2019-02-24 7:57,39.12,928000000000
New Jacobville,2019-02-09 2:17,7.11,3860000000000
Lake Jonathanshire,2019-04-07 20:51,31.25,4440000000000
Port David,2019-03-17 14:42,33.11,1030000000000
Martinezhaven,2019-02-20 19:32,13.34,2760000000000
Port Frank,2019-04-19 19:35,26.47,6720000000000
Valentineton,2019-03-02 14:44,39.77,6770000000000
Hurleymouth,2019-03-03 11:28,36.31,167000000000
Carriemouth,2019-02-25 8:26,32.37,6920000000000
Port Samanthamouth,2019-04-16 18:34,9.2,8710000000000
Williamsstad,2019-01-23 17:51,19.62,126000000000
Royland,2019-01-07 2:23,24.5,3620000000000
New Jacobville,2019-01-05 5:02,34.11,2830000000000
Roberthaven,2019-03-06 22:56,12.38,3370000000000
South Evanton,2019-01-07 18:47,43.61,9120000000000
New Paulton,2019-05-03 12:09,21.67,9090000000000
Karenberg,2019-03-11 17:26,36.15,7800000000000
Rodneyfort,2019-01-30 12:34,16.99,5780000000000
East Kaylahaven,2019-04-04 2:35,23.18,57422927996
Huntermouth,2019-02-19 3:19,7.05,1620000000000
Barajasview,2019-01-23 13:23,37.68,4110000000000
Williamsstad,2019-03-29 21:43,35.58,4750000000000
North Jason,2019-03-08 20:06,25.21,3180000000000
Christopherfurt,2019-04-17 2:25,23.3,7820000000000
Liumouth,2019-01-11 17:15,36.78,1460000000000
Johnton,2019-01-17 2:12,32.19,8530000000000
West Angela,2019-03-08 1:08,41.06,6200000000000
Jerryton,2019-01-04 16:38,37.2,5640000000000
Erikaland,2019-02-18 7:47,20.62,3290000000000
North Jason,2019-02-07 7:27,20,474000000000
Lake Scottton,2019-05-05 11:21,18.77,405000000000
Simpsonburgh,2019-03-22 8:56,22.05,3500000000000
Raymondhaven,2019-03-12 6:59,16.98,6450000000000
West Robert,2019-04-05 3:18,44.58,4250000000000
North Jason,2019-03-18 10:10,6.41,2870000000000
Port Samanthamouth,2019-01-23 9:08,35.51,3120000000000
West Robert,2019-01-21 17:21,27.11,1370000000000
Jerryton,2019-01-05 15:36,37.91,1590000000000
Port Samanthamouth,2019-02-03 7:07,18.03,9290000000000
Liumouth,2019-01-15 7:55,14.55,4380000000000
West Heidi,2019-04-03 3:16,24.76,1820000000000
Loganberg,2019-01-21 16:26,22.86,1950000000000
Grahamburgh,2019-02-17 9:54,30.25,4050000000000
Raymondhaven,2019-05-06 23:22,25.76,8720000000000
Karenside,2019-01-25 15:35,14.52,2650000000000
Port Frank,2019-04-06 21:38,18.08,5470000000000
Leahton,2019-04-02 17:39,22.76,5810000000000
Port Samanthamouth,2019-04-22 3:32,29.67,3150000000000
Jerryton,2019-04-13 21:47,32.08,8500000000000
West Patrickchester,2019-03-07 15:47,23.66,3070000000000
West Samuelburgh,2019-03-03 16:07,27.48,101000000000
North Markport,2019-03-31 13:58,29.41,3090000000000
West Angela,2019-03-10 11:23,27.1,1370000000000
Grahamburgh,2019-03-12 2:44,22.97,4900000000000
South Michelleport,2019-01-08 9:38,23.77,4920000000000
East Kaylahaven,2019-04-02 7:05,9.67,2090000000000
South Karenland,2019-04-22 21:37,22.86,6730000000000
Lake Danielberg,2019-02-24 12:05,9.63,9150000000000
Justinberg,2019-04-26 8:41,8.83,1820000000000
Karenberg,2019-04-29 20:54,28.41,9050000000000
South Phillip,2019-02-09 16:46,7.89,3200000000000
North Madeline,2019-04-05 18:23,29.69,241000000000
New Kimberlyborough,2019-05-01 13:56,22.59,9250000000000
South Jack,2019-04-24 19:33,38.04,2200000000000
Erikaland,2019-03-11 2:19,27.39,132000000000
New Paulville,2019-03-27 2:18,7.29,7050000000000
Hurleymouth,2019-03-26 20:22,41.15,4710000000000
Liumouth,2019-04-12 3:38,43.34,7860000000000
Deanville,2019-05-01 21:53,8.28,593000000000
Karenside,2019-04-02 19:22,41.93,4090000000000
West Angela,2019-01-30 18:08,19.13,2080000000000
Liumouth,2019-02-01 20:17,24.81,5470000000000
Jerryton,2019-03-27 12:48,13.29,8960000000000
South Phillip,2019-05-04 9:10,28.3,8700000000000
Port Johnbury,2019-04-27 16:22,25.67,2750000000000
Raymondhaven,2019-02-08 23:57,5.7,3930000000000
Port David,2019-03-07 18:37,42.04,9910000000000
Robertport,2019-03-06 9:51,6.73,9680000000000
Loganberg,2019-03-16 11:46,23.99,9490000000000
Karenside,2019-04-19 10:17,36.01,1320000000000
